winner_refer_hash,white_list_score,class
00A999647EC175AD6E7C896E33C76CA2C586FD589814D36DABF257BD4857E138,109,TIER1
2082914E4CAE2734EC5A8E46B8C582C798FD0C20C0A0BBD44EBDCC1F22BFE70A,100,TIER1
A2E1D3E2CA03746D29EB1888725C1C377609E8E0460F192B4E709CF2183071FF,96,TIER1
1AC5D2F370F2AC9EE6C0E6AF530A98499E281B11517F80ADE14A0036CE861E68,88,TIER1
5EF376E2556F968898CAE15BA2B5CC2C9D0B19F4EA8F94C032CB43394CB0222F,106,TIER1
FB867CF8CDC7BE44911D4F8B1A60EDF2A9C22DD38355D5C31F3130EDE74B2303,115,TIER1
3A9C5466B98C7A445C47B0D79EEE89021DDCD7790B358372B5275CBC4364B71C,84,TIER1
258CCBD8F6DD9D9D973790BEB52C56AA9141872BCD7EF9673890E13A403F0619,80,TIER1
29485EC49271DD6662FE0CE1F8E6E82569FD10C3F436A582160495F8512BA04F,88,TIER1
6430A86314D00A4E6EF659F2C51930EC7CD1B664A23ADCDBEFB18BF063AEEE45,63,TIER1
B9FC0C87BF66BB37E397E40C9D8EBE8A5081D045CCA493223E9C5BB26DE639F9,100,TIER1
B35705A32166099C7F017D7DA0D8B0E3F7D003BEBE3064E31B904F92323D0B79,86,TIER1
1F4778097BEAD874F947872A6134C0029BADD2FA1616431E87CBE7F0E3704941,100,TIER1
1165E0BECE70C3919C0EB0BFD29E4554F62BE14C79997A8FC4CD335B65852D04,87,TIER1
FAC731B49338BD32195A8B19D6DF5A2DC3985D9B084AD0F0EC3B75FB3DE8E4F5,63,TIER1
7A19DABDC2C87730768A0ADF8F4A79FB7EAAB776C8C908E3C62C3258DB347EF5,59,TIER1
98E01F28B15B932802D370B6860F011C984C7D7B90DFA951323EE48144E239AE,74,TIER1
A3DC32C05364008A9212A3A917D0ECF6C009E61069DD3A2CE16F1B47717F6897,90,TIER1
52EC89707070469AA5716423829F72D247D751BAB8F4169468DE0D3AA221A3C8,113,TIER1
A43A6227E5A536E1CA00B547EB4AC578B6CFB1946449072A9DA3740904913D67,86,TIER1
99182BA4B61F13A1A52844309218F1A33213509057B0C95C4DF5E4C198753E26,111,TIER1
E5D3129B2FC6191C8968DAC877278E8F20D0D31C60B01958EC6F6E7755FE4B2F,66,TIER1
DE50CA2765DCD098CF7DDBCD485C2F510B7A1654C952041E8C9E2AE8757D811C,108,TIER1
9E9A990C524D92FBD0FD19A41927330939C2117CCE3ECFDFA9EAA45C4873D5CF,110,TIER1
95F2DF29587142E90F4CFBA89D877253DD8034045F0EADC67B6B12EA697456A1,104,TIER1
B24F260E763F43B6A5F9BDAAC48C81D15DE8F801CE6B81214BE090138F77FC12,98,TIER1
404EB714E8F2E5B2F3BBA694EB03CEBDB0915DF6B20627C2CC4875DAFF5712BA,98,TIER1
09294569BA634E09A4E5FECF8001986D1B812DECA4619B2FC750876C97887F84,95,TIER1
68F9A50B24A9BAD500564B4BD68C1F260951C60E2D95F7DFDE67AEB3E849A9B0,100,TIER1
7985A0606683ED4A1B91E1BC25A15F16E9A3BE254311A06CB34AD8077B148606,92,TIER1
58F5616E202778C10B81EC02B4B3FB4DB8A7978D96C7040EB0EF98049AA74214,111,TIER1
4F516F915819065028245364AE3C5F1BB6E0B6D0BB960344CCD31E30BF6E6CEB,86,TIER1
AAF26D047C7C6C65D3517FD3E2972A563FBBE8530E4C262D7DC69F3663187358,119,TIER1
3653CB552C9854A577CC08EAD6F855E1017E86E87B485A2D7C9214F1DD3DB5D9,102,TIER1
CE1A65BDB0031B6092AE8E7BA705410CE67E29BF05CDE79F9390ECE7437CF667,100,TIER1
3B1A67790A62BEC50B98CEB32E89AA6AE192F87B9B508FDB7A12787215C12FB1,86,TIER1
1E5A6736D56BEC6358E9A15362CDB5DE949F447D45CBC1808E72711F49B932E4,100,TIER1
5A88DE716213BBB1C24007B3AEAFD07DBE001E1A2203ED40E708DB63FBDCA2CF,59,TIER1
60E23924C4EE37C234922387570991B372C3566FC0345C215D3FF43F63760B7D,102,TIER1
3DA8004ECDC3A772B0022CE94756A172A5401E6814DFEB8DEAE7F5A21BB8142D,100,TIER1
24A9F3472CBFE930C411656D92A486CD86C8B0EB729AB5F36FF31575BDCD6662,64,TIER1
D1E3FD02DD50D7317376724C8B3622C3753FF4030F0BF1C9FF9D83B3A7019FEB,100,TIER1
0E3F53B01978D73A374A2FB23C52E08A97F2FF73245D496AC8A08AD2F386C51A,100,TIER1
52E4049478E89AF185A63C996C368559389C12F1AB104B9704D2ED9A6621DC26,86,TIER1
18204E6FBD5A33CB6058D8861609967DE8513CAB32227B740CF0A65BF81AED19,100,TIER1
301403743CAF80C5AE4B00FDED63244C1479D0AF46427C3A7D01A46AD9F35BF2,86,TIER1
13619FC8D97540163414FF84A06B8C96213B67491C86497C19A39B35A1DABE5E,111,TIER1
A9D08EA8A2B806D2B29C617B35380C2AD9CEAD8C9F9FB69B6CCDFC2D3C43A1C1,99,TIER1
2C8949814453532AE36BB7D861840356325037402C1FFE580B2C01E5769A6527,113,TIER1
A7F338E57FE6777D007C7FD0FDA461F62100339EAEDAB6A2CFB43F1CA75EC7A8,88,TIER1
A7A70DBDCC6DCDD672394B1096189193908176995A11F94716CB5FFC5D00A8C2,113,TIER1
52D9E1DFF93BBF440A66EC2DFDA17D3D1CCD8EFBC0C04EC096B581F17690F074,100,TIER1
46F09701FBF560D3D25FED980A70EC31688F6CF11C8B7F2A876E70983B9EFC8F,115,TIER1
F5A1A639FCE52CF799DC8912E9C93B147F2AA34908585A73050E5549F9987DC2,65,TIER1
CEB91A91B45EB57CBB5368BC6C7A1EF85A627244A61E076BA96FABCA25943D0E,100,TIER1
AAFE85421EFBD12E83782FC06A36AECC18D6C7AA2E101824020EE8146DF1045B,66,TIER1
58F660AB06CD05CC5A3E0419BBD07FED7AA1920F359F3F1E984F78A362BAE1B1,86,TIER1
10E9BD9F427C875E83122B829F68C1AE218836822D78A81B2CE09F4F7AAB22B7,111,TIER1
4061917C4E6E1B9D488A03C3940399970175969B1FD78C6E419B9B6859748369,63,TIER1
F5F8F392E180319D0BB1D795063AA3B3DEC44AE736F9C481343070D8E0A7DC2C,97,TIER1
C189E2A18DBAE60AD295AE51943F41799829FB245154F0A9D51D53B874C85712,108,TIER1
900CDA78F5E5AFF06BE866D63887B18FE8BDDD382EBFB9E7476C3309478D2F39,115,TIER1
DF31BAAE502EA4E0FADBCE3166A2A591147C0AC618A6040C09ED9E6FC2C48361,111,TIER1
9BF9D234E98962F37CA034D4DCB5145CD15BAC4BFAE2DB8206607DB266F9F91F,72,TIER1
0A28406779835351441945E03B330B373C56B0B297A9C853FAACD31746C16DCE,66,TIER1
2EC9C11BBDA8BBC3FE954C63EEB275A3E7CC2063EE31FA592A81527CE37C01B0,61,TIER1
5B47CE55263431541379A58A64C2BDD6A347142D69F7C77DBC19742F9AF73B38,100,TIER1
3B5DB07350FC62EE66AC0F7258DA75A9B16A02C1D48BE508A2393778F2818C32,88,TIER1
6BA1BA0F9C51EFA8CF571CAF506183E86DB917CAE477245BA9CDA5A58B001959,59,TIER1
26A6F3893E26FA79490599FFD30F897DE2AFE2B8547C0ABCE81121CC94944264,86,TIER1
5EE3BB491A93FF931817CEBA062BE279AB6477B38FE41101D0FD7C42BE3FDFA3,60,TIER1
B6D2A6C17F5987A24814819E3A102E604DC5727167CC3761A5B4EE0C15074C94,108,TIER1
C15BE5E3663B64E624EFB0EA8821F4EF635C429C29307E4DA6FEBCA04EE5FF87,111,TIER1
BA293500E0139127BE3FE453616B9B8F40BD9239BB5629867E2B52991AC1E49C,106,TIER1
F2943CF57D809B0591A64C68AEDC5B7EE6B33F0F6542ACE748A04E8F9AC9934E,113,TIER1
EDC6BC19092237CE93D92EA9CB48303E968B02E9486D46F224FC76D23CB917F3,88,TIER1
2900CC21323A6522FD3C840F6C24FC1C8D92EAE50C9ECDBCFDBE4E2CF2A07B43,100,TIER1
67869EE7895D72C51FF1345795D16B0627810A25DDE8A89610F563EF584646D0,98,TIER1
